80,-350,100,-1250,60,-25,60,-250
90,0,80,0,50,0,55,0
100,-250,110,0,60,0,45,0
120,0,120,0,45,-25,55,0
100,-300,90,0,50,-50,60,0
110,0,100,0,45,0,60,0
80,-200,90,0,55,-50,40,0
120,0,120,0,45,0,45,0
110,0,110,0,50,-50,50,0
90,-150,80,0,40,-50,40,0
110,-350,110,-1500,70,0,55,0
130,0,100,0,55,-25,60,-275
90,-300,90,0,65,-75,40,0
100,0,130,0,45,0,40,0
120,-200,120,0,55,-25,45,0
110,0,130,0,40,0,55,0
90,-250,110,0,70,-25,65,0
130,-150,90,0,60,-75,70,0
120,-250,100,0,50,0,50,0
100,0,120,0,40,-50,70,0
120,-250,120,0,60,0,60,0
140,-300,110,-1750,65,-25,55,0
110,0,140,0,55,0,65,0
110,-350,130,0,80,-50,80,0
100,0,100,0,40,-25,40,0
120,-200,110,0,60,-50,80,0
130,-250,120,0,55,0,40,0
110,-150,120,0,65,-25,65,0
140,-250,140,0,40,-75,55,-300
120,0,110,0,80,-50,60,0
130,-350,130,0,65,-25,65,0
120,-200,140,0,75,0,75,0
140,-250,120,-2000,55,-25,60,0
130,-250,110,0,60,-25,65,0
110,-150,130,0,70,-25,75,-325
150,0,150,0,65,0,85,0
140,-150,110,0,55,-75,45,0
120,-300,150,0,75,-25,55,0
150,-350,120,0,45,-50,70,0
110,0,140,0,85,-75,55,0
140,-350,140,0,70,-25,70,0
130,-200,150,0,80,0,80,0
150,-250,130,0,60,-25,65,0
140,-250,120,0,65,-25,70,0
120,-150,140,0,75,-25,80,-350
160,0,160,-2250,70,-25,90,0
150,-150,120,0,60,-75,50,0
130,-300,160,0,80,-25,60,0
160,-350,130,0,50,-50,75,0
120,-250,150,0,90,-75,60,0
150,-350,150,0,75,-25,75,0
140,-200,160,0,85,-25,85,0
160,-250,140,0,65,-25,70,0
150,-250,130,0,70,-25,75,0
130,-150,150,0,80,-25,85,0
170,-250,170,0,75,-25,95,0
160,-150,130,0,65,-75,55,0
140,-300,170,-2500,85,-25,65,-375
170,-350,140,0,55,-50,80,0
130,-250,160,0,95,-75,65,0
170,-350,140,0,65,-25,95,0
130,-200,140,0,95,-75,65,-375
130,-250,150,-2500,65,-25,75,0
140,-150,130,0,55,-25,65,0
150,-350,160,0,70,-25,80,0
160,-300,170,0,80,-25,85,0
160,-250,170,0,75,-25,80,0
150,-150,170,0,75,-25,75,0
170,-150,150,0,55,-25,55,0
140,-300,160,0,75,-25,75,0
130,-350,140,0,70,-75,55,0
160,-250,160,-2500,85,-25,65,-375
140,-350,140,0,95,-25,85,0
150,-250,130,0,85,-50,65,0
130,-250,150,0,75,-50,70,0
140,-200,160,0,85,-25,85,0
170,-250,130,0,65,-75,70,0
160,-250,130,0,80,-25,75,0
150,-150,170,0,65,-25,85,0
170,-250,150,0,85,-75,95,0
140,-300,160,0,80,-25,85,0
170,-300,150,0,75,-25,65,0
160,-150,140,0,75,-75,75,-375
130,-150,130,0,55,-25,95,0
130,-200,150,0,80,-25,75,0
130,-250,130,0,65,-25,65,0
170,-250,130,0,95,-25,80,0
160,-150,160,-2500,70,-75,85,0
150,-250,150,0,75,-25,95,0
160,-350,170,0,85,-75,65,0
140,-250,140,0,85,-25,70,0
150,-250,140,0,65,-50,85,0
130,-250,150,0,55,-75,85,-375
170,-350,170,-2500,95,-25,75,0
140,-200,130,0,65,-25,65,0
150,-250,170,0,85,-25,75,0
160,-350,140,0,65,-25,55,0
170,-250,160,0,75,-25,70,0
140,-350,160,0,70,-25,55,0
150,-150,170,0,85,-50,80,0
170,-350,140,0,65,-25,95,0
130,-200,140,0,95,-75,65,-375
130,-250,150,-2500,65,-25,75,0
140,-150,130,0,55,-25,65,0
150,-350,160,0,70,-25,80,0
160,-300,170,0,80,-25,85,0
160,-250,170,0,75,-25,80,0
150,-150,170,0,75,-25,75,0
170,-150,150,0,55,-25,55,0
140,-300,160,0,75,-25,75,0
130,-350,140,0,70,-75,55,0
160,-250,160,-2500,85,-25,65,-375
140,-350,140,0,95,-25,85,0
150,-250,130,0,85,-50,65,0
130,-250,150,0,75,-50,70,0
140,-200,160,0,85,-25,85,0
170,-250,130,0,65,-75,70,0
160,-250,130,0,80,-25,75,0
150,-150,170,0,65,-25,85,0
170,-250,150,0,85,-75,95,0
140,-300,160,0,80,-25,85,0
170,-300,150,0,75,-25,65,0
160,-150,140,0,75,-75,75,-375
130,-150,130,0,55,-25,95,0
130,-200,150,0,80,-25,75,0
130,-250,130,0,65,-25,65,0
170,-250,130,0,95,-25,80,0
160,-150,160,-2500,70,-75,85,0
150,-250,150,0,75,-25,95,0
160,-350,170,0,85,-75,65,0
140,-250,140,0,85,-25,70,0
150,-250,140,0,65,-50,85,0
130,-250,150,0,55,-75,85,-375
170,-350,170,-2500,95,-25,75,0
140,-200,130,0,65,-25,65,0
150,-250,170,0,85,-25,75,0
160,-350,140,0,65,-25,55,0
170,-250,160,0,75,-25,70,0
140,-350,160,0,70,-25,55,0
150,-150,170,0,85,-50,80,0
